No,Name,Team,Position,Age,Throws,Salary
164,Alexander Reyes,STL,RP,27,R,2850000
165,Noah Schultz,CHW,P,18,,2800000
166,Chris Archer,MIN,SP,33,R,2750000
167,Rafael Montero,HOU,RP,31,R,2725000
168,Brent Suter,MIL,RP,32,L,2700000
169,Chris Stratton,STL,RP,31,R,2700000
170,Nick Pivetta,BOS,SP,29,R,2650000
171,Joely Rodriguez,NYM,RP,30,L,2650000
172,Reynaldo Lopez,CHW,RP,28,R,2625000
173,Miguel Castro,NYY,RP,27,R,2620000
174,Owen Murphy,ATL,P,18,,2556900
175,Cal Quantrill,CLE,SP,27,R,2510000
176,Matt Moore,TEX,RP,33,L,2500000
177,Aaron Bummer,CHW,RP,28,L,2500000
178,Drew VerHagen,STL,RP,31,R,2500000
179,Freddy Peralta,MIL,SP,26,R,2484960
180,Pablo Lopez,MIA,SP,26,R,2450000
181,Adrian Houser,MIL,SP,29,R,2425000
182,Eric Lauer,MIL,SP,27,L,2425000
183,Giovanny Gallegos,STL,RP,30,R,2410000
184,Joe Ross,WSH,SP,29,R,2400000
185,Scott Barlow,KC,RP/CL,29,R,2400000
186,Ian Ritchie Jr.,ATL,P,19,,2400000
187,Jacob Misiorowski,MIL,SP,20,,2350000
188,Landon Sims,ARI,RP,21,,2347050
189,Emilio Pagan,MIN,RP,31,R,2300000
190,Justin Wilson,CIN,RP,34,L,2300000
191,Reggie Crawford,SF,P,21,,2297500
192,Chris Paddack,MIN,SP,26,R,2250000
193,Richard Bleier,MIA,RP,35,L,2250000
194,A.J. Minter,ATL,RP,28,L,2200000
195,Diego Castillo,SEA,RP,28,R,2150000
196,Erick Fedde,WSH,SP,29,R,2150000
197,Wandy Peralta,NYY,RP,30,L,2150000
198,Ryne Stanek,HOU,RP,30,R,2100000
199,Thomas Harrington,PIT,P,20,,2050000
200,Amir Garrett,KC,RP,30,L,2025000
201,Steve Cishek,WSH,RP,36,R,2000000
202,Anibal Sanchez,WSH,SP,38,R,2000000
203,Zach Plesac,CLE,SP,27,R,2000000
204,Jose Quintana,STL,SP,33,L,2000000
205,Caleb Smith,ARI,RP,30,L,2000000
206,Jose Cisnero,DET,RP,33,R,1900000
207,Emmanuel Clase,CLE,RP/CL,24,R,1900000
208,Jose Alvarado,PHI,RP/CL,27,L,1900000
209,Carson Whisenhunt,SF,SP,21,,1868720
210,Andrew Kittredge,TB,RP,32,R,1850000
211,Blade Tidwell,NYM,SP,21,,1850000
212,Jackson Cox,COL,SP,18,,1850000
213,Connor Prielipp,MIN,SP,21,,1825000
214,Hunter Strickland,CIN,RP,33,R,1825000
215,Luis Cessa,CIN,SP,30,R,1800000
216,Joe Jimenez,DET,RP,27,R,1790000
217,Brad Boxberger,MIL,RP,34,R,1750000
218,Domingo German,NYY,SP,29,R,1750000
219,Paul Sewald,SEA,RP/CL,32,R,1735000
220,Jake Bennett,WSH,P,21,,1734800
221,Jarlin Garcia,SF,RP,29,L,1725000
222,Jacob Miller,MIA,SP,18,,1700400
223,Justin Campbell,CLE,SP,21,,1700000
224,Jarlin Susana,SD,P,0,,1700000
225,Jonathan Loaisiga,NYY,RP,27,R,1650000
226,Adam Cimber,TOR,RP,31,R,1575000
227,Phil Maton,HOU,RP,29,R,1550000
228,Hunter Barco,PIT,SP,21,,1525000
229,Spencer Turnbull,DET,SP,29,R,1500000
230,Jorge Lopez,MIN,RP,29,R,1500000
231,Jose Alvarez,SF,RP,33,L,1500000
232,Sean Doolittle,WSH,RP,35,L,1500000
233,Jay Jackson,ATL,RP,34,R,1500000
234,Karson Milbrandt,MIA,SP,18,,1500000
235,Peyton Pallette,CHW,SP,21,,1500000
236,Zach Davies,ARI,SP,29,R,1500000
